date,region,week_cases
2020-09-14,1,1359
2020-09-14,2,1117
2020-09-14,14,5868
2020-09-14,3,111
2020-09-14,4,2
2020-09-14,5,1
2020-09-14,6,0
2020-09-14,7,0
2020-09-14,8,0
2020-09-14,9,1656
2020-09-14,10,4
2020-09-14,11,1549
2020-09-14,12,69
2020-09-14,13,0
2020-09-21,1,906
2020-09-21,2,929
2020-09-21,14,7405
2020-09-21,3,159
2020-09-21,4,2
2020-09-21,5,1
2020-09-21,6,0
2020-09-21,7,0
2020-09-21,8,0
2020-09-21,9,2457
2020-09-21,10,2
2020-09-21,11,2866
2020-09-21,12,83
2020-09-21,13,0
2020-09-28,1,1010
2020-09-28,2,700
2020-09-28,14,9886
2020-09-28,3,311
2020-09-28,4,4
2020-09-28,5,1
2020-09-28,6,0
2020-09-28,7,1
2020-09-28,8,0
2020-09-28,9,3257
2020-09-28,10,1
2020-09-28,11,4523
2020-09-28,12,78
2020-09-28,13,0
2020-10-05,1,1186
2020-10-05,2,831
2020-10-05,14,13659
2020-10-05,3,272
2020-10-05,4,3
2020-10-05,5,4
2020-10-05,6,0
2020-10-05,7,2
2020-10-05,8,0
2020-10-05,9,4283
2020-10-05,10,3
2020-10-05,11,6999
2020-10-05,12,76
2020-10-05,13,0
2020-10-12,1,1060
2020-10-12,2,446
2020-10-12,14,13879
2020-10-12,3,464
2020-10-12,4,75
2020-10-12,5,6
2020-10-12,6,0
2020-10-12,7,3
2020-10-12,8,0
2020-10-12,9,4325
2020-10-12,10,2
2020-10-12,11,7326
2020-10-12,12,172
2020-10-12,13,0
2020-10-19,1,2678
2020-10-19,2,1502
2020-10-19,14,18598
2020-10-19,3,727
2020-10-19,4,35
2020-10-19,5,4
2020-10-19,6,0
2020-10-19,7,5
2020-10-19,8,0
2020-10-19,9,5936
2020-10-19,10,0
2020-10-19,11,7453
2020-10-19,12,256
2020-10-19,13,2
2020-10-26,1,3060
2020-10-26,2,1684
2020-10-26,14,18776
2020-10-26,3,967
2020-10-26,4,18
2020-10-26,5,4
2020-10-26,6,4
2020-10-26,7,4
2020-10-26,8,0
2020-10-26,9,6149
2020-10-26,10,1
2020-10-26,11,6493
2020-10-26,12,387
2020-10-26,13,5
2020-11-02,1,3629
2020-11-02,2,2130
2020-11-02,14,21748
2020-11-02,3,1926
2020-11-02,4,13
2020-11-02,5,0
2020-11-02,6,1
2020-11-02,7,12
2020-11-02,8,0
2020-11-02,9,6431
2020-11-02,10,0
2020-11-02,11,7096
2020-11-02,12,509
2020-11-02,13,1
2020-11-09,1,4798
