,sequence_date,voc_date,week_monday_date
0,2020-09-18,,2020-09-14
1,2020-09-25,,2020-09-21
2,2020-10-02,,2020-09-28
3,2020-10-09,,2020-10-05
4,2020-10-16,,2020-10-12
5,2020-10-23,,2020-10-19
6,2020-10-30,,2020-10-26
7,2020-11-06,,2020-11-02
8,2020-11-13,,2020-11-09
9,2020-11-20,,2020-11-16
10,2020-11-27,,2020-11-23
11,2020-12-04,,2020-11-30
12,2020-12-11,,2020-12-07
13,2020-12-18,,2020-12-14
14,2020-12-25,,2020-12-21
15,2021-01-01,,2020-12-28
16,2021-01-08,,2021-01-04
17,2021-01-15,,2021-01-11
18,2021-01-22,,2021-01-18
19,2021-01-29,,2021-01-25
20,2021-02-05,,2021-02-01
21,2021-02-12,,2021-02-08
22,2021-02-19,,2021-02-15
23,2021-02-26,,2021-02-22
24,2021-03-05,,2021-03-01
25,2021-03-12,,2021-03-08
26,2021-03-19,2021-03-15,2021-03-15
27,2021-03-26,2021-03-22,2021-03-22
28,2021-04-02,2021-03-29,2021-03-29
29,2021-04-09,2021-04-05,2021-04-05
30,2021-04-16,2021-04-12,2021-04-12
31,2021-04-23,2021-04-19,2021-04-19
32,2021-04-30,2021-04-26,2021-04-26
33,2021-05-07,2021-05-03,2021-05-03
34,2021-05-14,2021-05-10,2021-05-10
35,2021-05-21,2021-05-17,2021-05-17
36,2021-05-28,2021-05-24,2021-05-24
37,2021-06-04,2021-05-31,2021-05-31
38,2021-06-11,2021-06-07,2021-06-07
39,2021-06-18,2021-06-14,2021-06-14
40,2021-06-25,2021-06-21,2021-06-21
41,2021-07-02,2021-06-28,2021-06-28
