region,voc,total,date
1,1,45676,2021-07-12
2,1,13555,2021-07-12
3,1,6998,2021-07-12
4,1,180,2021-07-12
5,1,187,2021-07-12
6,1,78,2021-07-12
7,1,73,2021-07-12
8,1,21,2021-07-12
9,1,144700,2021-07-12
10,1,26,2021-07-12
11,1,7088,2021-07-12
12,1,6911,2021-07-12
13,1,2,2021-07-12
14,1,225495,2021-07-12
1,2,167,2021-07-12
2,2,152,2021-07-12
3,2,73,2021-07-12
4,2,4,2021-07-12
5,2,6,2021-07-12
6,2,0,2021-07-12
7,2,12,2021-07-12
8,2,0,2021-07-12
9,2,1440,2021-07-12
10,2,0,2021-07-12
11,2,438,2021-07-12
12,2,10,2021-07-12
13,2,0,2021-07-12
14,2,2302,2021-07-12
1,3,2796,2021-07-12
2,3,10273,2021-07-12
3,3,220,2021-07-12
4,3,1,2021-07-12
5,3,1,2021-07-12
6,3,2,2021-07-12
7,3,1,2021-07-12
8,3,0,2021-07-12
9,3,4818,2021-07-12
10,3,0,2021-07-12
11,3,527,2021-07-12
12,3,398,2021-07-12
13,3,51,2021-07-12
14,3,19088,2021-07-12
1,4,869,2021-07-12
2,4,1330,2021-07-12
3,4,394,2021-07-12
4,4,0,2021-07-12
5,4,1,2021-07-12
6,4,0,2021-07-12
7,4,2,2021-07-12
8,4,0,2021-07-12
9,4,2707,2021-07-12
10,4,2,2021-07-12
11,4,163,2021-07-12
12,4,348,2021-07-12
13,4,0,2021-07-12
14,4,5816,2021-07-12
