region,voc,total,date
Alberta,alpha,45735,2021-07-19
British Columbia,alpha,14063,2021-07-19
Manitoba,alpha,7065,2021-07-19
New Brunswick,alpha,180,2021-07-19
Newfoundland and Labrador,alpha,187,2021-07-19
Northwest Territories,alpha,76,2021-07-19
Nova Scotia,alpha,103,2021-07-19
Nunavut,alpha,21,2021-07-19
Ontario,alpha,144798,2021-07-19
Prince Edward Island,alpha,26,2021-07-19
Quebec,alpha,7173,2021-07-19
Saskatchewan,alpha,6963,2021-07-19
Yukon,alpha,3,2021-07-19
Canada,alpha,226393,2021-07-19
Alberta,beta,171,2021-07-19
British Columbia,beta,154,2021-07-19
Manitoba,beta,73,2021-07-19
New Brunswick,beta,4,2021-07-19
Newfoundland and Labrador,beta,6,2021-07-19
Northwest Territories,beta,0,2021-07-19
Nova Scotia,beta,12,2021-07-19
Nunavut,beta,0,2021-07-19
Ontario,beta,1466,2021-07-19
Prince Edward Island,beta,0,2021-07-19
Quebec,beta,445,2021-07-19
Saskatchewan,beta,10,2021-07-19
Yukon,beta,0,2021-07-19
Canada,beta,2341,2021-07-19
Alberta,gamma,2801,2021-07-19
British Columbia,gamma,10695,2021-07-19
Manitoba,gamma,230,2021-07-19
New Brunswick,gamma,1,2021-07-19
Newfoundland and Labrador,gamma,1,2021-07-19
Northwest Territories,gamma,1,2021-07-19
Nova Scotia,gamma,1,2021-07-19
Nunavut,gamma,0,2021-07-19
Ontario,gamma,4955,2021-07-19
Prince Edward Island,gamma,0,2021-07-19
Quebec,gamma,554,2021-07-19
Saskatchewan,gamma,410,2021-07-19
Yukon,gamma,31,2021-07-19
Canada,gamma,19680,2021-07-19
Alberta,delta,969,2021-07-19
British Columbia,delta,1380,2021-07-19
Manitoba,delta,474,2021-07-19
New Brunswick,delta,0,2021-07-19
Newfoundland and Labrador,delta,1,2021-07-19
Northwest Territories,delta,0,2021-07-19
Nova Scotia,delta,22,2021-07-19
Nunavut,delta,0,2021-07-19
Ontario,delta,3318,2021-07-19
Prince Edward Island,delta,2,2021-07-19
Quebec,delta,219,2021-07-19
Saskatchewan,delta,424,2021-07-19
Yukon,delta,0,2021-07-19
Canada,delta,6809,2021-07-19
