region,voc ,total,date
Alberta,1,45580,2021-07-05
British Columbia,1,13555,2021-07-05
Manitoba,1,6908,2021-07-05
New Brunswick,1,180,2021-07-05
Newfoundland and Labrador,1,187,2021-07-05
Northwest Territories,1,77,2021-07-05
Nova Scotia,1,73,2021-07-05
Nunavut,1,21,2021-07-05
Ontario,1,143899,2021-07-05
Prince Edward Island,1,26,2021-07-05
Quebec,1,7037,2021-07-05
Saskatchewan,1,6677,2021-07-05
Yukon,1,2,2021-07-05
Canada,1,224222,2021-07-05
Alberta,2,160,2021-07-05
British Columbia,2,152,2021-07-05
Manitoba,2,72,2021-07-05
New Brunswick,2,4,2021-07-05
Newfoundland and Labrador,2,6,2021-07-05
Northwest Territories,2,0,2021-07-05
Nova Scotia,2,12,2021-07-05
Nunavut,2,0,2021-07-05
Ontario,2,1415,2021-07-05
Prince Edward Island,2,0,2021-07-05
Quebec,2,427,2021-07-05
Saskatchewan,2,10,2021-07-05
Yukon,2,0,2021-07-05
Canada,2,2258,2021-07-05
Alberta,3,2764,2021-07-05
British Columbia,3,10273,2021-07-05
Manitoba,3,208,2021-07-05
New Brunswick,3,1,2021-07-05
Newfoundland and Labrador,3,1,2021-07-05
Northwest Territories,3,2,2021-07-05
Nova Scotia,3,1,2021-07-05
Nunavut,3,0,2021-07-05
Ontario,3,4631,2021-07-05
Prince Edward Island,3,0,2021-07-05
Quebec,3,518,2021-07-05
Saskatchewan,3,348,2021-07-05
Yukon,3,51,2021-07-05
Canada,3,18798,2021-07-05
Alberta,4,782,2021-07-05
British Columbia,4,1330,2021-07-05
Manitoba,4,263,2021-07-05
New Brunswick,4,0,2021-07-05
Newfoundland and Labrador,4,1,2021-07-05
Northwest Territories,4,0,2021-07-05
Nova Scotia,4,2,2021-07-05
Nunavut,4,0,2021-07-05
Ontario,4,2041,2021-07-05
Prince Edward Island,4,2,2021-07-05
Quebec,4,77,2021-07-05
Saskatchewan,4,209,2021-07-05
Yukon,4,0,2021-07-05
Canada,4,4707,2021-07-05
