region,date,qc_pass,qc_fail,gisaid
1,2020-09-18,,,
2,2020-09-18,,,
3,2020-09-18,,,
4,2020-09-18,,,
5,2020-09-18,,,
7,2020-09-18,,,
9,2020-09-18,,,
10,2020-09-18,,,
11,2020-09-18,,,
12,2020-09-18,,,
14,2020-09-18,,,
1,2020-09-25,1787,220,0
2,2020-09-25,3296,720,604
3,2020-09-25,395,87,15
4,2020-09-25,51,43,51
5,2020-09-25,35,5,19
7,2020-09-25,308,40,8
9,2020-09-25,2927,697,276
10,2020-09-25,22,6,0
11,2020-09-25,2506,883,725
12,2020-09-25,271,178,0
14,2020-09-25,11598,2879,1698
1,2020-10-02,2284,227,0
2,2020-10-02,4119,857,604
3,2020-10-02,477,160,15
4,2020-10-02,51,43,51
5,2020-10-02,35,5,19
7,2020-10-02,308,40,8
9,2020-10-02,3733,732,613
10,2020-10-02,22,11,0
11,2020-10-02,2978,1150,728
12,2020-10-02,271,178,0
14,2020-10-02,14278,3403,2038
1,2020-10-09,,,
2,2020-10-09,,,
3,2020-10-09,,,
4,2020-10-09,,,
5,2020-10-09,,,
7,2020-10-09,,,
9,2020-10-09,,,
10,2020-10-09,,,
11,2020-10-09,,,
12,2020-10-09,,,
14,2020-10-09,,,
1,2020-10-16,,,
2,2020-10-16,,,
3,2020-10-16,,,
4,2020-10-16,,,
5,2020-10-16,,,
7,2020-10-16,,,
9,2020-10-16,,,
10,2020-10-16,,,
11,2020-10-16,,,
12,2020-10-16,,,
14,2020-10-16,,,
1,2020-10-23,2419,233,0
2,2020-10-23,4429,919,604
3,2020-10-23,513,192,270
4,2020-10-23,51,49,51
5,2020-10-23,35,5,19
7,2020-10-23,514,64,252
9,2020-10-23,3930,875,1079
10,2020-10-23,22,11,0
11,2020-10-23,2978,1150,725
12,2020-10-23,290,181,0
14,2020-10-23,15181,3679,3000
1,2020-10-30,,,
2,2020-10-30,,,
3,2020-10-30,,,
4,2020-10-30,,,
5,2020-10-30,,,
7,2020-10-30,,,
9,2020-10-30,,,
10,2020-10-30,,,
11,2020-10-30,,,
12,2020-10-30,,,
14,2020-10-30,,,
1,2020-11-06,,,
2,2020-11-06,,,
3,2020-11-06,,,
4,2020-11-06,,,
5,2020-11-06,,,
7,2020-11-06,,,
9,2020-11-06,,,
10,2020-11-06,,,
11,2020-11-06,,,
12,2020-11-06,,,
14,2020-11-06,,,
1,2020-11-13,,,
2,2020-11-13,,,
3,2020-11-13,,,
4,2020-11-13,,,
5,2020-11-13,,,
7,2020-11-13,,,
9,2020-11-13,,,
10,2020-11-13,,,
11,2020-11-13,,,
12,2020-11-13,,,
14,2020-11-13,,,
1,2020-11-20,2571,269,0
2,2020-11-20,5782,1185,604
3,2020-11-20,686,213,295
4,2020-11-20,51,57,51
5,2020-11-20,65,18,19
7,2020-11-20,514,64,252
