region,date,voc,total
1,2021-03-15,1,902
2,2021-03-15,1,667
3,2021-03-15,1,12
4,2021-03-15,1,6
5,2021-03-15,1,88
6,2021-03-15,1,0
7,2021-03-15,1,11
8,2021-03-15,1,0
9,2021-03-15,1,1036
10,2021-03-15,1,4
11,2021-03-15,1,241
12,2021-03-15,1,64
13,2021-03-15,1,0
14,2021-03-15,1,3031
1,2021-03-15,2,16
2,2021-03-15,2,36
3,2021-03-15,2,11
4,2021-03-15,2,0
5,2021-03-15,2,0
6,2021-03-15,2,0
7,2021-03-15,2,8
8,2021-03-15,2,0
9,2021-03-15,2,44
10,2021-03-15,2,0
11,2021-03-15,2,99
12,2021-03-15,2,6
13,2021-03-15,2,0
14,2021-03-15,2,220
1,2021-03-15,3,2
2,2021-03-15,3,14
3,2021-03-15,3,0
4,2021-03-15,3,0
5,2021-03-15,3,0
6,2021-03-15,3,0
7,2021-03-15,3,0
8,2021-03-15,3,0
9,2021-03-15,3,34
10,2021-03-15,3,0
11,2021-03-15,3,1
12,2021-03-15,3,0
13,2021-03-15,3,0
14,2021-03-15,3,51
1,2021-03-22,1,1581
2,2021-03-22,1,1094
3,2021-03-22,1,63
4,2021-03-22,1,6
5,2021-03-22,1,178
6,2021-03-22,1,0
7,2021-03-22,1,13
8,2021-03-22,1,0
9,2021-03-22,1,1287
10,2021-03-22,1,4
11,2021-03-22,1,432
12,2021-03-22,1,149
13,2021-03-22,1,0
14,2021-03-22,1,4807
1,2021-03-22,2,18
2,2021-03-22,2,41
3,2021-03-22,2,13
4,2021-03-22,2,0
5,2021-03-22,2,0
6,2021-03-22,2,0
7,2021-03-22,2,10
8,2021-03-22,2,0
9,2021-03-22,2,47
10,2021-03-22,2,0
11,2021-03-22,2,107
12,2021-03-22,2,7
13,2021-03-22,2,0
14,2021-03-22,2,243
1,2021-03-22,3,2
2,2021-03-22,3,65
3,2021-03-22,3,0
4,2021-03-22,3,0
5,2021-03-22,3,0
6,2021-03-22,3,0
7,2021-03-22,3,0
8,2021-03-22,3,0
9,2021-03-22,3,36
10,2021-03-22,3,0
11,2021-03-22,3,1
12,2021-03-22,3,0
13,2021-03-22,3,0
14,2021-03-22,3,104
1,2021-03-29,1,3043
2,2021-03-29,1,1666
3,2021-03-29,1,109
4,2021-03-29,1,6
5,2021-03-29,1,178
6,2021-03-29,1,0
7,2021-03-29,1,13
8,2021-03-29,1,0
9,2021-03-29,1,1625
10,2021-03-29,1,4
11,2021-03-29,1,595
12,2021-03-29,1,486
13,2021-03-29,1,0
14,2021-03-29,1,7725
1,2021-03-29,2,20
2,2021-03-29,2,47
3,2021-03-29,2,14
4,2021-03-29,2,0
5,2021-03-29,2,0
6,2021-03-29,2,0
7,2021-03-29,2,10
8,2021-03-29,2,0
9,2021-03-29,2,63
10,2021-03-29,2,0
11,2021-03-29,2,107
12,2021-03-29,2,8
13,2021-03-29,2,0
14,2021-03-29,2,269
1,2021-03-29,3,5
2,2021-03-29,3,199
3,2021-03-29,3,0
4,2021-03-29,3,0
5,2021-03-29,3,0
6,2021-03-29,3,0
7,2021-03-29,3,0
8,2021-03-29,3,0
9,2021-03-29,3,67
10,2021-03-29,3,0
11,2021-03-29,3,1
12,2021-03-29,3,0
13,2021-03-29,3,0
14,2021-03-29,3,272
1,2021-04-05,1,6273
2,2021-04-05,1,2771
3,2021-04-05,1,235
4,2021-04-05,1,28
5,2021-04-05,1,178
6,2021-04-05,1,1
7,2021-04-05,1,18
8,2021-04-05,1,0
9,2021-04-05,1,2135
