region,voc,total,date
1,1,45761,'2021-07-26'
2,1,14170,'2021-07-26'
3,1,7088,'2021-07-26'
4,1,180,'2021-07-26'
5,1,187,'2021-07-26'
6,1,76,'2021-07-26'
7,1,103,'2021-07-26'
8,1,21,'2021-07-26'
9,1,145386,'2021-07-26'
10,1,26,'2021-07-26'
11,1,7203,'2021-07-26'
12,1,7027,'2021-07-26'
13,1,3,'2021-07-26'
14,1,227231,'2021-07-26'
1,2,175,'2021-07-26'
2,2,157,'2021-07-26'
3,2,73,'2021-07-26'
4,2,4,'2021-07-26'
5,2,6,'2021-07-26'
6,2,0,'2021-07-26'
7,2,12,'2021-07-26'
8,2,0,'2021-07-26'
9,2,1492,'2021-07-26'
10,2,0,'2021-07-26'
11,2,444,'2021-07-26'
12,2,10,'2021-07-26'
13,2,0,'2021-07-26'
14,2,2373,'2021-07-26'
1,3,2810,'2021-07-26'
2,3,10963,'2021-07-26'
3,3,233,'2021-07-26'
4,3,1,'2021-07-26'
5,3,1,'2021-07-26'
6,3,1,'2021-07-26'
7,3,1,'2021-07-26'
8,3,0,'2021-07-26'
9,3,5142,'2021-07-26'
10,3,0,'2021-07-26'
11,3,554,'2021-07-26'
12,3,419,'2021-07-26'
13,3,31,'2021-07-26'
14,3,20156,'2021-07-26'
1,4,1295,'2021-07-26'
2,4,1514,'2021-07-26'
3,4,621,'2021-07-26'
4,4,0,'2021-07-26'
5,4,1,'2021-07-26'
6,4,0,'2021-07-26'
7,4,22,'2021-07-26'
8,4,0,'2021-07-26'
9,4,3913,'2021-07-26'
10,4,2,'2021-07-26'
11,4,241,'2021-07-26'
12,4,505,'2021-07-26'
13,4,0,'2021-07-26'
14,4,8114,'2021-07-26'
