region,voc ,total,date
1,1,45580,2021-07-05
2,1,13555,2021-07-05
3,1,6908,2021-07-05
4,1,180,2021-07-05
5,1,187,2021-07-05
6,1,77,2021-07-05
7,1,73,2021-07-05
8,1,21,2021-07-05
9,1,143899,2021-07-05
10,1,26,2021-07-05
11,1,7037,2021-07-05
12,1,6677,2021-07-05
13,1,2,2021-07-05
14,1,224222,2021-07-05
1,2,160,2021-07-05
2,2,152,2021-07-05
3,2,72,2021-07-05
4,2,4,2021-07-05
5,2,6,2021-07-05
6,2,0,2021-07-05
7,2,12,2021-07-05
8,2,0,2021-07-05
9,2,1415,2021-07-05
10,2,0,2021-07-05
11,2,427,2021-07-05
12,2,10,2021-07-05
13,2,0,2021-07-05
14,2,2258,2021-07-05
1,3,2764,2021-07-05
2,3,10273,2021-07-05
3,3,208,2021-07-05
4,3,1,2021-07-05
5,3,1,2021-07-05
6,3,2,2021-07-05
7,3,1,2021-07-05
8,3,0,2021-07-05
9,3,4631,2021-07-05
10,3,0,2021-07-05
11,3,518,2021-07-05
12,3,348,2021-07-05
13,3,51,2021-07-05
14,3,18798,2021-07-05
1,4,782,2021-07-05
2,4,1330,2021-07-05
3,4,263,2021-07-05
4,4,0,2021-07-05
5,4,1,2021-07-05
6,4,0,2021-07-05
7,4,2,2021-07-05
8,4,0,2021-07-05
9,4,2041,2021-07-05
10,4,2,2021-07-05
11,4,77,2021-07-05
12,4,209,2021-07-05
13,4,0,2021-07-05
14,4,4707,2021-07-05
