region,voc,total,date
Alberta,alpha,45676,2021-07-12
British Columbia,alpha,13555,2021-07-12
Manitoba,alpha,6998,2021-07-12
New Brunswick,alpha,180,2021-07-12
Newfoundland and Labrador,alpha,187,2021-07-12
Northwest Territories,alpha,78,2021-07-12
Nova Scotia,alpha,73,2021-07-12
Nunavut,alpha,21,2021-07-12
Ontario,alpha,144700,2021-07-12
Prince Edward Island,alpha,26,2021-07-12
Quebec,alpha,7088,2021-07-12
Saskatchewan,alpha,6911,2021-07-12
Yukon,alpha,2,2021-07-12
Canada,alpha,225495,2021-07-12
Alberta,beta,167,2021-07-12
British Columbia,beta,152,2021-07-12
Manitoba,beta,73,2021-07-12
New Brunswick,beta,4,2021-07-12
Newfoundland and Labrador,beta,6,2021-07-12
Northwest Territories,beta,0,2021-07-12
Nova Scotia,beta,12,2021-07-12
Nunavut,beta,0,2021-07-12
Ontario,beta,1440,2021-07-12
Prince Edward Island,beta,0,2021-07-12
Quebec,beta,438,2021-07-12
Saskatchewan,beta,10,2021-07-12
Yukon,beta,0,2021-07-12
Canada,beta,2302,2021-07-12
Alberta,gamma,2796,2021-07-12
British Columbia,gamma,10273,2021-07-12
Manitoba,gamma,220,2021-07-12
New Brunswick,gamma,1,2021-07-12
Newfoundland and Labrador,gamma,1,2021-07-12
Northwest Territories,gamma,2,2021-07-12
Nova Scotia,gamma,1,2021-07-12
Nunavut,gamma,0,2021-07-12
Ontario,gamma,4818,2021-07-12
Prince Edward Island,gamma,0,2021-07-12
Quebec,gamma,527,2021-07-12
Saskatchewan,gamma,398,2021-07-12
Yukon,gamma,51,2021-07-12
Canada,gamma,19088,2021-07-12
Alberta,delta,869,2021-07-12
British Columbia,delta,1330,2021-07-12
Manitoba,delta,394,2021-07-12
New Brunswick,delta,0,2021-07-12
Newfoundland and Labrador,delta,1,2021-07-12
Northwest Territories,delta,0,2021-07-12
Nova Scotia,delta,2,2021-07-12
Nunavut,delta,0,2021-07-12
Ontario,delta,2707,2021-07-12
Prince Edward Island,delta,2,2021-07-12
Quebec,delta,163,2021-07-12
Saskatchewan,delta,348,2021-07-12
Yukon,delta,0,2021-07-12
Canada,delta,5816,2021-07-12
